# (a_i, b_i) = (0.200, 0.250)
# resolution: 150
# category labels: t=tipping, n=none(tip to periodic attractors), c=converge, ns=notSufficient
# load method: df = pd.read_csv('xxx.csv', comment='#')
# protocol s >=0
category,a,b
t,1.788749057209934,-0.9072847682119205
t,1.8128398862632669,-0.9072847682119205
t,1.8369307153165992,-0.9072847682119205
t,1.8610215443699316,-0.9072847682119205
t,1.885112373423264,-0.9072847682119205
t,1.9092032024765964,-0.9072847682119205
t,1.9332940315299287,-0.9072847682119205
t,1.9573848605832616,-0.9072847682119205
t,1.981475689636594,-0.9072847682119205
t,2.0055665186899265,-0.9072847682119205
t,2.0296573477432585,-0.9072847682119205
t,2.0537481767965913,-0.9072847682119205
t,2.077839005849923,-0.9072847682119205
t,2.101929834903256,-0.9072847682119205
t,2.126020663956589,-0.9072847682119205
t,2.1501114930099208,-0.9072847682119205
t,2.1742023220632536,-0.9072847682119205
t,2.1982931511165855,-0.9072847682119205
t,2.2223839801699183,-0.9072847682119205
t,2.2464748092232503,-0.9072847682119205
t,2.270565638276583,-0.9072847682119205
t,2.294656467329916,-0.9072847682119205
t,2.318747296383248,-0.9072847682119205
t,2.3428381254365807,-0.9072847682119205
t,2.3669289544899126,-0.9072847682119205
t,2.3910197835432454,-0.9072847682119205
t,2.415110612596578,-0.9072847682119205
t,2.43920144164991,-0.9072847682119205
t,2.463292270703243,-0.9072847682119205
t,2.487383099756575,-0.9072847682119205
t,2.5114739288099077,-0.9072847682119205
t,2.5355647578632396,-0.9072847682119205
t,2.5596555869165725,-0.9072847682119205
t,2.5837464159699053,-0.9072847682119205
t,2.607837245023237,-0.9072847682119205
t,2.63192807407657,-0.9072847682119205
t,2.656018903129902,-0.9072847682119205
t,2.680109732183235,-0.9072847682119205
t,2.7042005612365676,-0.9072847682119205
t,-0.8730792353739567,-0.8940397350993378
t,-0.8493218412141211,-0.8940397350993378
t,-0.8255644470542856,-0.8940397350993378
t,-0.8018070528944501,-0.8940397350993378
t,-0.7780496587346145,-0.8940397350993378
t,-0.7542922645747789,-0.8940397350993378
t,-0.7305348704149434,-0.8940397350993378
t,-0.7067774762551078,-0.8940397350993378
t,-0.6830200820952723,-0.8940397350993378
t,-0.6592626879354367,-0.8940397350993378
t,-0.6355052937756012,-0.8940397350993378
t,-0.6117478996157656,-0.8940397350993378
t,1.0750270857325588,-0.8940397350993378
t,1.0987844798923945,-0.8940397350993378
t,1.1225418740522302,-0.8940397350993378
t,1.1462992682120654,-0.8940397350993378
t,1.170056662371901,-0.8940397350993378
t,1.1938140565317368,-0.8940397350993378
t,1.2175714506915725,-0.8940397350993378
t,1.2413288448514077,-0.8940397350993378
t,1.2650862390112434,-0.8940397350993378
t,1.288843633171079,-0.8940397350993378
t,1.3126010273309143,-0.8940397350993378
t,1.33635842149075,-0.8940397350993378
t,1.3601158156505857,-0.8940397350993378
t,1.3838732098104214,-0.8940397350993378
t,1.4076306039702566,-0.8940397350993378
t,1.4313879981300923,-0.8940397350993378
t,1.455145392289928,-0.8940397350993378
t,1.4789027864497633,-0.8940397350993378
t,1.502660180609599,-0.8940397350993378
t,1.5264175747694346,-0.8940397350993378
t,1.5501749689292699,-0.8940397350993378
t,1.5739323630891056,-0.8940397350993378
t,1.5976897572489412,-0.8940397350993378
t,1.621447151408777,-0.8940397350993378
t,1.6452045455686122,-0.8940397350993378
t,1.6689619397284479,-0.8940397350993378
t,1.6927193338882836,-0.8940397350993378
t,1.7164767280481188,-0.8940397350993378
t,1.7402341222079545,-0.8940397350993378
t,1.7639915163677902,-0.8940397350993378
t,1.7877489105276254,-0.8940397350993378
t,1.811506304687461,-0.8940397350993378
t,1.8352636988472968,-0.8940397350993378
t,1.8590210930071325,-0.8940397350993378
t,1.8827784871669677,-0.8940397350993378
t,1.9065358813268034,-0.8940397350993378
t,1.930293275486639,-0.8940397350993378
t,1.9540506696464743,-0.8940397350993378
t,1.97780806380631,-0.8940397350993378
t,2.0015654579661457,-0.8940397350993378
t,2.025322852125981,-0.8940397350993378
t,2.0490802462858166,-0.8940397350993378
t,2.0728376404456523,-0.8940397350993378
t,2.096595034605488,-0.8940397350993378
t,2.1203524287653233,-0.8940397350993378
t,2.144109822925159,-0.8940397350993378
t,2.1678672170849946,-0.8940397350993378
t,2.19162461124483,-0.8940397350993378
t,2.2153820054046656,-0.8940397350993378
t,2.2391393995645013,-0.8940397350993378
t,2.262896793724337,-0.8940397350993378
t,2.286654187884172,-0.8940397350993378
t,2.310411582044008,-0.8940397350993378
t,2.3341689762038436,-0.8940397350993378
t,2.357926370363679,-0.8940397350993378
